animal,djur (n)
ant,myra
bat,fladdermus
bear,björn
bee,bi (n)
bird,fågel
bull,tjur
butterfly,fjäril
cat,katt
chicken,kyckling
cockroach,kackerlacka
cow,ko
crocodile,krokodil
crow,kråka
deer,hjort
dog,hund
donkey,åsna
duck,anka
eagle,örn
elephant,elefant
fish,fisk
fly,fluga
fox,räv
frog,groda
fur,päls
giraffe,giraff
goose,gås
gorilla,gorilla
grasshopper,gräshoppa
hamster,hamster
hedgehog,igelkott
horse,häst
insect,insekt
kitten,kattunge
lamb,lamm (n)
lion,lejon (n)
lizard,ödla
monkey,apa
mosquito,mygga
mouse,mus
octopus,bläckfisk
parrot,papegoja
penguin,pingvin
pig,svin (n)
pigeon,duva
rabbit,kanin
rat,råtta
salmon,lax
scorpion,skorpion
sea gull,mås
shark,haj
sheep,får
shrimp,räka
snail,snigel
snake,orm
sparrow,sparv
spider,spindel
squirrel,ekorre
swan,svan
tiger,tiger
tuna,tonfisk
turkey,kalkon
turtle,sköldpadda
wasp,geting
whale,"valfisk, val"
wolf,varg
worm,mask
zebra,zebra
