Monday,måndag
Tuesday,tisdag
Wednesday,onsdag
Thursday,torsdag
Friday,fredag
Saturday,lördag
Sunday,söndag
day,dag
morning,morgon
afternoon,eftermiddag
evening,afton (before 6 pm) / kväll
night,natt
today,idag
tomorrow,imorgon
day after tomorrow,i övermorgon
tonight,ikväll
yesterday,igår
day before yesterday,i förrgår
last night,igår natt
week,vecka
weekend,helg
daily,daglig
weekly,veckolig
January,januari
February,februari
March,mars
April,april
May,maj
June,juni
July,juli
August,augusti
September,september
October,oktober
November,november
December,december
month,månad
year,år
monthly,månatlig / varje månad
yearly,årlig
Winter,vinter
Spring,vår
Summer,sommar
Fall,höst
in (the) winter,på vintern
in (the) spring,på våren
in (the) summer,på sommaren
in (the) fall,på hösten
