why?,varför?
when?,när?
who?,vem?
what?,vad?
how?,hur?
which?,vilken? / vilket? / vilka?
how long?,hut länge?

something|anything|any,något / någon / några
elsewhere (location),annorstädes
somewhere (location),någonstans
somewhere (direction),någonvart

because * 2,eftersom/för
through,genom (genom dören)
in,i
next to ...,bredvid ...
that’s why * 3,därför / alltså / såledas
on,på
back (come),tillbaka
and * 2,och/samt
(go to) right (of),(gå till) höger (om)
(go to) left (of),(gå till) vänster (om)
A … than B,A … än B
A vs B,A mot B
if,om
from,från
on (turn on),på (stänga på)
off (turn off),av (stänga av)
quite,ganska
but * 2,men/utan (after negative when contradicting it) - han köpte inte bilen utan stal den
against (versus) *2,mot / kontra
about | around (proximity),om
plus,plus
minus,minus
under,under
over,över
as,som
near (some object),vid
for,för
far,långt
with,med
as … as,så … som
gladly,gärna
without,utan
each other,varandra
towards,åt
also,också
behind,bakom
in front of,framför
over (over two),över (över två)
never,aldrig
to,till
above (above the table),ovan (ovan bordet)
near,nära
of | by,av
between,mellan
next,nästa
like (similar to),lika
among,emellan
previous,föregående
including,inklusive
excluding,exclusive
across (across the street),tvärs över (tvärs över gatan)
last (final),sista
along (along the line),längs (längs linjen)
last (previous),förra
except,utom
after,efter
according to (book),enligt (enligt boken)
out,ur
almost,nästan
which (союз),som
must,måste
all,alla
then,då
before * 2,förr/förut
now,nu
again,igen
shortly,strax
quickly,fort
exactly,precis
so,så
at someone's place,hos (mig)
too (long),alltför (lång)
forward,fram
straight/direcly (forward),rakt
together,ihop/tillsammans
of course * 2,ju/javisst/förstås
neither (also not),inte heller
althogh,fast
usually,vanligtvis
opposite to ...,mit emot ...
after that,därefter
outside,utanför
although,även om
despite ...,trots att ...
only,bara
instead,i stället
possible,moljig
important,viktig
especially,specielt
approximately,cirka
both,båda
sharp/exactly,jämnt
neraly,ungeför
common,gemensam
for real,på riktigt
actually,egentligen
own,egen/eget/egna
most,mest/mesta
