banana,banan
watermelon,vattenmelon
vegetable,grönsak
salad,sallad
paprika,paprika
grain,korn (n)
almond,mandel
apple,äpple (n)
ash,ask
bark,bark
berry,bär (n)
birch,björk
blackberry,björnbär (n)
branch,gren
cherry,körsbär (n)
currant,vinbär (n)
fig,fikon (n)
fruit,frukt
grapes,vindruvor
hazelnut,hasselnöt
leaf,blad (n)
lemon,citron
melon,melon
olive,oliv
orange,apelsin
peach,persika
pear,päron (pl)
pineapple,ananas
raspberry,hallon (n)
root,rot 
strawberry,jordgubbe
tree,träd (n)
tree trunk,stam
vine,vinstock
walnut,valnöt
barley,korn (n)
bean (broad),böna
bean (kidney),kidneyböna
brussel sprouts,brysselkål
cabbage,kål
carrot,morot
cauliflower,blomkål
celery,selleri
corn,majs
cucumber,gurka
eggplant,aubergine
garlic,vitlök
herb,ört
lettuce,sallad
maize,majs
mint,mynta
mushroom,svamp
oats,havre
onion,lök
pea,ärta
potato,potatis
pumpkin,pumpa
rice,ris (n)
rye,råg
seed,frö (n)
spinach,spenat
tomato,tomat
turnip,rova
wheat,vete (n)
