cotton,bomull
alloy,legering
brass,mässing
brick,mursten
cement,cement (n)
chalk,krita
clay,lera
coal,kol (n)
concrete,betong
copper,koppar
cork,kork
glass,glas (n)
gold,guld (n)
iron,järn (n)
lead,bly (n)
leather,läder (n)
lime,kalk
mercury,kvicksilver (n)
metal,metall
rubber,gummi (n)
silver,silver (n)
steel,stål (n)
stone,sten
tar,tjära
tin,tenn (n)
wood,trä (n)
axe,yxa
board,bräde (n)
file,fil
gun,gevär (n)
hammer,hammare
hook (fishing),metkrok
line (fishing),metrev
nail,spik
net,nät (n)
nut,mutter
rod (fishing),mestpö (n)
saw,såg
scissors,sax
screw,skruv
screwdriver,skruvmejsel
spring,fjäder
string,snöre (n)
tool,verktyg (n)
tool box,verktygslåda
wire,tråd
