change to B,byta/ändra till B
in such case,I så fall
Have fun!,Ha det så skoj!
a list of ...,en lista på ...
in an hour,om en timme
look for ...,söka efter
a bla (a note) for you,en bla (en lapp) till dig
answer the questions,svara på frågorna
next time,nästa gång
opposite to ...,mitt emot ...
present (show) to ...,presentera för ...
the end of ...,slutet av ...
instead/instead of ...,i stället / i stället för ...
look like ...,se ut ...
for example,till exempel
vise versa,tvärtom
etc.,så vidare
like (similar to) ...,så där
return (an object),lämna tillbaka
do sth. for N period of time (I have been studying for two years),göra ... i N ... (studera i två år)
be interested in ...,vara intresserad av ...
Would you like (to gå),Skulle du vilja (gå)/Har du lust (att gå)
as much as possible,så mycket som möjligt
... ago (10 years ago),för ... sedan (för 10 år sedan)
... for a long time (have been planning for a long time),... länge (har planerat länge)
what is the weather?,vad är det för väder?
when is ur birthday?,när fyller du år?
what date is it today?,vad är det för datum i dag?
tell to each other,berätta för varndra
one of ...,en/ett av ...
angry about,arg på
disappointed with,besviken på
tired of,trött på
annoyed with,irriterad på
look at sth.,titta på
taste sth.,smaka på
listen to,lyssna på
smell sth.,lukta på
touch sth.,känna på
see u later,vi ses!
he turns 40,han fyller 40
think about it,tänka på det
both A and B * 2, både A och B / såvål A som B
not only A but also B,inte bara A utan också B
either A or B,antingen A eller B
neither A nor B,varken A eller B
be satisfied with ...,vara nöjda med ...
all over the world,över hela världen
take care of,ta hand om
in any case/in all cases,i alla fall
stay in top,ligga på topp
to be good at/in,vara duktig på
look forward to,se fram emot
do you know anyone who...,känner du någon som ...
friend of ...,kompis till ...
I was forced,jag blev tvungen
what is this?,vad är det (här för något)?
be late,komma för sent
do sth. for a while,göra något en stund
two cups a day,två koppar om dagen
anythin else,någon annat
a map of the city,en karta över stan
have been planning for a long time,har planerat länge
end up with ...,sluta i ...
for real,på riktigt
same to you,detsamma
on monday/.../sunday,på måndag/.../söndag
