bacon,bacon / fläsk (n)
beef,nötkött (n)
beer,öl (n)
beverage,dryck
biscuit,kaka
bread,bröd (n)
breakfast,frukost
butter,smör (n)
cake,kaka / tårta
cheese,ost
chicken,kyckling
coffee,kaffe
cream,grädde
dessert,dessert
dinner,middag
egg,ägg (n)
fried egg,stekta ägg
soft-boiled egg,kokta ägg
fat,fett (n)
flour,mjöl (n)
ham,skinka
honey,honung
jam,sylt
lunch,lunch
meal,måltid
meat,kött (n)
milk,mjölk
mustard,senap
mutton,fårkött (n)
oil,olja
omelet,omelett
pepper,peppar
pork,fläsk (n)
roll,bulle
salad,sallad
salt,salt (n)
sandwich,smörgås
sauce,sås
sausage,korv
soup,soppa
stew,gryta
sugar,socker (n)
supper,middag
tea,te (n)
veal,kalvkött (n)
vegetables,grönsaker
vinegar,ättika / vinäger
wine,vin (n)
bottle,flaska
can opener,konservöppnare
coffee pot,kaffekanna
cup,kopp
dish,fat (n)
fork,gaffel
frying pan,stekpanna
glass,glas (n)
jug,kruka
kettle,kittel
knife,kniv
napkin,servett
plate,tallrik
saucepan,kastrull
spoon,sked
tablecloth,duk
teapot,tekanna
pasta,pasta
porridge,gröt
chocolate,choklad
candy,godis
chewing gum,tuggummi (n)
nut,nöt
dressing,förband (n)
ketchup,ketchup
mayonnaise,majonnäs
cinnamon,kanel
curry,curry
alcohol,alkohol
vodka,vodka
cider,cider
juice,saft
can,burk
