air,luft
bank,strand
bay,vik
beach,strand
branch,gren
bush,buske
cape,kap
cave,grotta
climate,klimat
cloud,moln (n)
coast,kust
comet,komet
country(side),land (n)
current,ström
darkness,mörker (n)
desert,öken
dust,damm (n)
earth,jord
east,öster
field,fält
flower,blomma
foam,skum (n)
fog,dimma
forest,skog
fresh water,sötvatten (n)
frost,frost
grass,gräs (n)
gulf,vik
hail,hagel (n)
hay,hö (n)
hill,kulle
ice,is
island,ö
jungle,djungel
lake,sjö
leaf,blad
light,ljus (n)
lightning,blixt
meadow,äng
moon,måne
mountain,berg (n)
mountain range,bergskedja
nature,natur
north,norr
peninsula,halvö
plain,slät
planet,planet
plant,växt
pond,damm (n)
rain,regn (n)
rainbow,regnbåge
river,flod
rock,klippa
root,rot
rose,ros
salt water,saltvatten (n)
sand,sand
sea,hav (n)
shadow,skugga
sky,himmel
snow,snö
soil,mark
south,söder
spring (water),källa
star,stjärna
stem,stam
storm,storm
strait,sund
stream,bäck
sun,sol
sunflower,solros
thunder,åska
tornado,tromb
tree,träd
valley,dal
view,utsikt
water,vatten (n)
waterfall,vattenfall (n)
wave,bölja
weather,väder (n)
west,väster
wind,vind
world,värld
