Monday,måndag
Tuesday,tisdag
Wednesday,onsdag
Thursday,torsdag
Friday,fredag
Saturday,lördag
Sunday,söndag

morning,morgon
afternoon,eftermiddag
evening,afton (before 6 pm) / kväll
night,natt

today,idag
tomorrow,imorgon
day after tomorrow,i övermorgon
tonight,ikväll
yesterday,igår
day before yesterday,i förrgår
last night,igår natt
this morning,i morse
last year,förra året
this month,den här månaden

weekend,helg

January,januari
February,februari
March,mars
April,april
May,maj
June,juni
July,juli
August,augusti
September,september
October,oktober
November,november
December,december

day,dag
week,vecka
month,månad
year,år

daily,daglig
weekly,veckolig
monthly,månatlig / varje månad
yearly,årlig

Winter,vinter
Spring,vår
Summer,sommar
Fall,höst

on monday/.../sunday,på måndag/.../söndag

in (the) winter,på vintern
in (the) spring,på våren
in (the) summer,på sommaren
in (the) fall,på hösten

What time is it?,Vad är klockan?
It is 2 AM,Klockan är två på natten
6:20,tjugo över sex
half past 3,halv fyra
quarter past 4,kvart över fyra
quarter to 5,kvart i fem
10 past 11,tio över elva
20 to 7,tjugo i sju
noon,mitt på dagen
midnight,midnatt
in the morning,på morgonen
in the evening,på kvällen
It's exactly...,den är precis
About/around 8.,omkring åtta
At 8.,klockan åtta
early,tidigt
late(r),sent (senare)
have been planning for a long time,har planerat länge

once a day *,en gång om dagen
once a week,en gång i veckan
once a year *,en gång om året
once a month,en gång i månaden
once an hour,en gång i timmen
once a minute,en gång i minuten

before (time),innan
until * 2,tills/förrän
since ...,sedan ...
… ago,för … sedan
during (during the week),under (under veckan)
(I will do it) in an hour,(Jag gör det) om en timme
(I've been living there)for a year,(Jag har bott där) i år

already,redan
soon,snart
seldom,sällan
sometimes,ibland
always,alltid
ever (time),någonsin
finally | at last,till sist
at the same time,samtidigt
often,ofta
while,medan
immediately,genast
still,fortfarande
nowadays,nuförtiden
