usual!=unusual,vanlig!=ovanlig
tough,tuff
damaged/injured,skadad
happy/satisfied,nöjda
handsome,snygg
available/vacant,ledig
made by hands,händig
cozy/housy,huslig
quiet,tyst
exciting,spånnade
fun,rolig
disgusting,äcklig
flat,platt
famous,berömd
good - better - best,god / bra - bättre - bäst
good - better - best (food),god - godare godast
bad - worse - worst,dålig - värre/sämre - värst/sämst
few - fewer,få - färre
small - smaller - smallest,liten - mindre - minst
many - more - most,många - fler - flest
much - more - most,mycket - mer - mest
old - older - oldest,gammal - äldre - äldst
purple,lila * 3
pink,rosa * 3 / skär - skärt - skära
orange,orange - orangea - oranget
blue,blå - blått - blåa
yellow,gul - gult - gula
red,röd - rött - röda
black,svart - svart - svarta
brown,brun - brunt - bruna
gray,grå - grått - gråa
white,vit - vitt - vita
green,grön - grönt - gröna
